product_id,name,category,price,description,tags,stock
P001,Nike Air Zoom Pegasus,Running Shoes,120,Responsive everyday running shoe with cushioned support,"running,fitness,shoes,training",42
P002,Adidas Running Shorts,Sportswear,45,Lightweight breathable shorts for running and gym workouts,"running,gym,summer,sportswear",35
P003,Leather Jacket,Fashion,180,Classic fitted leather jacket for casual evening style,"fashion,jacket,outerwear",12
P004,White Lifestyle Sneakers,Shoes,90,Versatile white sneakers for casual daily wear,"sneakers,casual,shoes,fashion",58
P005,High-Waist Yoga Pants,Sportswear,60,Stretchy high-waist pants for yoga pilates and studio workouts,"yoga,pilates,fitness,leggings",28
P006,Performance Running Socks,Accessories,15,Moisture-wicking socks designed to reduce friction on runs,"running,socks,fitness,accessories",100
P007,Insulated Water Bottle,Accessories,25,Reusable bottle that keeps drinks cold during training,"gym,fitness,hydration,accessories",74
P008,Wireless Sport Earbuds,Electronics,75,Sweat-resistant earbuds for music and workout motivation,"running,gym,technology,fitness",19
P009,Training Sports Bra,Sportswear,40,Medium-support sports bra for running yoga and gym sessions,"running,yoga,gym,sportswear",30
P010,Yoga Mat,Equipment,35,Non-slip cushioned mat for yoga stretching and home workouts,"yoga,pilates,fitness,home workout",25
P011,Resistance Band Set,Equipment,30,Three resistance bands for strength training anywhere,"strength,gym,fitness,home workout",40
P012,Canvas Tote Bag,Accessories,20,Reusable everyday tote with a simple modern design,"casual,fashion,accessories",66
