id,filename,label,gender,color,category
1,img (1).jpg,man light gray shirt,man,light gray,shirt
2,img (2).jpg,man light gray shirt,man,light gray,shirt
3,img (3).jpg,man cream shirt,man,cream,shirt
4,img (4).jpg,man coral shirt,man,coral,shirt
5,img (5).jpg,man navy shirt,man,navy,shirt
6,img (6).jpg,man orange shirt,man,orange,shirt
7,img (7).jpg,man light gray shirt,man,light gray,shirt
8,img (8).jpg,man light gray shirt,man,light gray,shirt
9,img (9).jpg,man green shoe,man,green,shoe
10,img (10).jpg,man black shoe,man,black,shoe
11,img (11).jpg,man white shoe,man,white,shoe
12,img (12).jpg,woman white shirt,woman,white,shirt
13,img (13).jpg,man blue shirt,man,blue,shirt
14,img (14).jpg,man gray shoe,man,gray,shoe
15,img (15).jpg,man red shoe,man,red,shoe
16,img (16).jpg,man black pant,man,black,pant
17,img (17).jpg,man navy pant,man,navy,pant
18,img (18).jpg,man cream shoe,man,cream,shoe
19,img (19).jpg,man purple shoe,man,purple,shoe
20,img (20).jpg,man beige shoe,man,beige,shoe
21,img (21).jpg,man green shirt,man,green,shirt
22,img (22).jpg,man white shirt,man,white,shirt
23,img (23).jpg,man black shirt,man,black,shirt
24,img (24).jpg,woman green shirt,woman,green,shirt
25,img (25).jpg,woman pink shirt,woman,pink,shirt
26,img (26).jpg,man black shoe,man,black,shoe
27,img (27).jpg,man gray shoe,man,gray,shoe
28,img (28).jpg,man gray shoe,man,gray,shoe
29,img (29).jpg,man orange shirt,man,orange,shirt
30,img (30).jpg,man beige shirt,man,beige,shirt
31,img (31).jpg,man purple shirt,man,purple,shirt
32,img (32).jpg,man brown shirt,man,brown,shirt
33,img (33).jpg,man white shirt,man,white,shirt
34,img (34).jpg,man yellow shirt,man,yellow,shirt
35,img (35).jpg,man purple shirt,man,purple,shirt
36,img (36).jpg,man light gray shirt,man,light gray,shirt
37,img (37).jpg,man red shirt,man,red,shirt
38,img (38).jpg,man red shirt,man,red,shirt
39,img (39).jpg,man white shirt,man,white,shirt
40,img (40).jpg,man brown shirt,man,brown,shirt
41,img (41).jpg,man dark gray shirt,man,dark gray,shirt
42,img (42).jpg,man dark gray shirt,man,dark gray,shirt
43,img (43).jpg,man turquoise shirt,man,turquoise,shirt
44,img (44).jpg,man orange shirt,man,orange,shirt
45,img (45).jpg,man gray shirt,man,gray,shirt
46,img (46).jpg,man gray pant,man,gray,pant
47,img (47).jpg,man black pant,man,black,pant
48,img (48).jpg,man blue shirt,man,blue,shirt
49,img (49).jpg,man cream shirt,man,cream,shirt
50,img (50).jpg,woman blue shirt,woman,blue,shirt
51,img (51).jpg,woman cream shirt,woman,cream,shirt
52,img (52).jpg,woman red shirt,woman,red,shirt
53,img (53).jpg,woman blue shirt,woman,blue,shirt
54,img (54).jpg,woman orange shirt,woman,orange,shirt
55,img (55).jpg,woman light gray shirt,woman,light gray,shirt
56,img (56).jpg,woman yellow shirt,woman,yellow,shirt
57,img (57).jpg,man gray pant,man,gray,pant
58,img (58).jpg,man cream shirt,man,cream,shirt
59,img (59).jpg,man dark gray shirt,man,dark gray,shirt
60,img (60).jpg,man green shirt,man,green,shirt
61,img (61).jpg,man purple shirt,man,purple,shirt
62,img (62).jpg,man beige shirt,man,beige,shirt
63,img (63).jpg,man light gray shirt,man,light gray,shirt
64,img (64).jpg,man orange shirt,man,orange,shirt
65,img (65).jpg,man magenta shirt,man,magenta,shirt
66,img (66).jpg,man navy shirt,man,navy,shirt
67,img (67).jpg,man navy shirt,man,navy,shirt
68,img (68).jpg,man blue shirt,man,blue,shirt
69,img (69).jpg,man light gray shirt,man,light gray,shirt
70,img (70).jpg,woman black shirt,woman,black,shirt
71,img (71).jpg,man white shirt,man,white,shirt
72,img (72).jpg,man white shirt,man,white,shirt
73,img (73).jpg,woman blue pant,woman,blue,pant
74,img (74).jpg,man white shoe,man,white,shoe
75,img (75).jpg,man white shoe,man,white,shoe
76,img (76).jpg,woman teal shoe,woman,teal,shoe
77,img (77).jpg,man black shoe,man,black,shoe
78,img (78).jpg,man black pant,man,black,pant
79,img (79).jpg,man purple shirt,man,purple,shirt
80,img (80).jpg,man purple shirt,man,purple,shirt
